YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-12,WEEKDAY,11,TRAIN,NS7,20301,15305
2023-12,WEEKENDS/HOLIDAY,11,TRAIN,NS7,12854,13130
2023-12,WEEKENDS/HOLIDAY,16,TRAIN,SW4,1150,1188
2023-12,WEEKDAY,16,TRAIN,SW4,1706,2077
2023-12,WEEKDAY,10,TRAIN,CC5,2506,4630
2023-12,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1613,2569
2023-12,WEEKDAY,13,TRAIN,CC23,11033,13815
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2514,2012
2023-12,WEEKDAY,22,TRAIN,EW33,1155,2422
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,EW33,1285,2145
2023-12,WEEKENDS/HOLIDAY,14,TRAIN,CC21,6377,5119
2023-12,WEEKDAY,14,TRAIN,CC21,10514,7686
2023-12,WEEKDAY,12,TRAIN,TE16,6400,4406
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,TE16,4488,3225
2023-12,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,59663,56023
2023-12,WEEKDAY,18,TRAIN,EW24/NS1,207974,159150
2023-12,WEEKDAY,7,TRAIN,NE10,20174,19392
2023-12,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4371,3379
2023-12,WEEKDAY,8,TRAIN,EW22,12838,23403
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2372,2197
2023-12,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1290,535
2023-12,WEEKDAY,7,TRAIN,BP10,9454,1737
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,NE10,7502,7536
2023-12,WEEKDAY,15,TRAIN,NE10,10975,12574
2023-12,WEEKENDS/HOLIDAY,18,TRAIN,EW22,2728,3234
2023-12,WEEKDAY,18,TRAIN,EW22,14637,16572
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,CC25,3532,2530
2023-12,WEEKDAY,15,TRAIN,CC25,5898,4606
2023-12,WEEKDAY,12,TRAIN,CE1/DT16,20151,43132
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,15117,35722
2023-12,WEEKDAY,10,TRAIN,SW6,4102,1446
2023-12,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2624,977
2023-12,WEEKENDS/HOLIDAY,17,TRAIN,DT31,5148,4888
2023-12,WEEKDAY,17,TRAIN,DT31,10273,14153
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,CC14,3474,3331
2023-12,WEEKDAY,15,TRAIN,CC14,5820,5507
2023-12,WEEKDAY,0,TRAIN,NS8,895,3190
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,NS8,1137,2159
2023-12,WEEKDAY,18,TRAIN,NS14,43341,85265
2023-12,WEEKENDS/HOLIDAY,18,TRAIN,NS14,18031,19154
2023-12,WEEKDAY,12,TRAIN,EW17,22744,23248
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,EW17,14596,13787
2023-12,WEEKENDS/HOLIDAY,11,TRAIN,TE22,1086,4215
2023-12,WEEKDAY,11,TRAIN,TE22,1099,4224
