RoadName,LineID
PAN ISLAND EXPRESSWAY,"107002836"
PAN ISLAND EXPRESSWAY,"107002840"
PAN ISLAND EXPRESSWAY,"107002844"
PAN ISLAND EXPRESSWAY,"107002848"
PAN ISLAND EXPRESSWAY,"107002852"
PAN ISLAND EXPRESSWAY,"107002856"
PAN ISLAND EXPRESSWAY,"107002860"
PAN ISLAND EXPRESSWAY,"107002864"
PAN ISLAND EXPRESSWAY,"107002868"
PAN ISLAND EXPRESSWAY,"107002884"
PAN ISLAND EXPRESSWAY,"108001788"
PAN ISLAND EXPRESSWAY,"109002204"
STADIUM CRESCENT,"103000408"
STADIUM CRESCENT,"103010444"
STADIUM CRESCENT,"103054632"
STADIUM CRESCENT,"103057244"
STADIUM CRESCENT,"103062060"
STADIUM CRESCENT,"103062128"
STADIUM CRESCENT,"103062132"
STADIUM CRESCENT,"103074220"
STADIUM CRESCENT,"103074224"
STADIUM CRESCENT,"103076008"
STADIUM CRESCENT,"103076012"
STADIUM CRESCENT,"103091160"
STADIUM CRESCENT,"103091164"
STADIUM CRESCENT,"103116832"
STADIUM CRESCENT,"103116836"
STADIUM CRESCENT,"107002244"
JALAN BENAAN KAPAL,"103000488"
JALAN BENAAN KAPAL,"103001382"
JALAN BENAAN KAPAL,"103001383"
JALAN BENAAN KAPAL,"103010440"
JALAN BENAAN KAPAL,"103010448"
JALAN BENAAN KAPAL,"103077862"
JALAN BENAAN KAPAL,"103077863"
JALAN BENAAN KAPAL,"103077866"
JALAN BENAAN KAPAL,"103077867"
JALAN BENAAN KAPAL,"103091860"
JALAN BENAAN KAPAL,"106003370"
JALAN BENAAN KAPAL,"106003371"
JALAN BENAAN KAPAL,"106004134"
JALAN BENAAN KAPAL,"106004135"
JALAN BENAAN KAPAL,"107002254"
JALAN BENAAN KAPAL,"107002255"
KAMPONG ARANG ROAD,"103000564"
KAMPONG ARANG ROAD,"103000568"
KAMPONG ARANG ROAD,"103000574"
KAMPONG ARANG ROAD,"103000575"
KAMPONG ARANG ROAD,"103003114"
KAMPONG ARANG ROAD,"103003115"
KAMPONG ARANG ROAD,"103004490"
KAMPONG ARANG ROAD,"103004491"
KAMPONG ARANG ROAD,"103011294"
KAMPONG ARANG ROAD,"103011295"
KAMPONG ARANG ROAD,"103084030"
KAMPONG ARANG ROAD,"103084031"
TANJONG RHU ROAD,"103072446"
TANJONG RHU ROAD,"103072447"
TANJONG RHU ROAD,"103072450"
TANJONG RHU ROAD,"103072451"
TANJONG RHU ROAD,"103072490"
TANJONG RHU ROAD,"103072491"
TANJONG RHU ROAD,"103072498"
TANJONG RHU ROAD,"103072499"
TANJONG RHU ROAD,"103075586"
TANJONG RHU ROAD,"103083774"
TANJONG RHU ROAD,"103083775"
TANJONG RHU ROAD,"103083794"
TANJONG RHU ROAD,"103083795"
TANJONG RHU ROAD,"103108550"
TANJONG RHU ROAD,"103108551"
TANJONG RHU ROAD,"106003364"
TANJONG RHU ROAD,"107002266"
TANJONG RHU ROAD,"107002267"
EAST COAST PARKWAY,"103004420"
EAST COAST PARKWAY,"103006320"
EAST COAST PARKWAY,"103007588"
EAST COAST PARKWAY,"103092140"
EAST COAST PARKWAY,"103092144"
EAST COAST PARKWAY,"107002292"
STADIUM ROAD,"103002440"
STADIUM ROAD,"103072078"
STADIUM ROAD,"103072079"
STADIUM ROAD,"103072618"
STADIUM ROAD,"103072619"
STADIUM ROAD,"103090058"
STADIUM ROAD,"103090059"
STADIUM ROAD,"103090086"
STADIUM ROAD,"103090087"
STADIUM ROAD,"103090090"
STADIUM ROAD,"103090091"
STADIUM ROAD,"103091168"
STADIUM ROAD,"114000164"
STADIUM ROAD,"114000168"
STADIUM ROAD,"114000172"
STADIUM ROAD,"114000176"
STADIUM ROAD,"114000192"
NICOLL HIGHWAY,"103002900"
NICOLL HIGHWAY,"103055232"
NICOLL HIGHWAY,"103072066"
NICOLL HIGHWAY,"103072067"
NICOLL HIGHWAY,"103072978"
NICOLL HIGHWAY,"103072979"
NICOLL HIGHWAY,"103072982"
NICOLL HIGHWAY,"103072983"
NICOLL HIGHWAY,"103073042"
NICOLL HIGHWAY,"103073043"
NICOLL HIGHWAY,"103075614"
NICOLL HIGHWAY,"103075615"
NICOLL HIGHWAY,"103076198"
NICOLL HIGHWAY,"103076199"
NICOLL HIGHWAY,"103076318"
NICOLL HIGHWAY,"103076319"
NICOLL HIGHWAY,"103076358"
NICOLL HIGHWAY,"103076359"
NICOLL HIGHWAY,"103077390"
NICOLL HIGHWAY,"103077391"
NICOLL HIGHWAY,"103090254"
NICOLL HIGHWAY,"103090255"
NICOLL HIGHWAY,"103090262"
NICOLL HIGHWAY,"103090263"
NICOLL HIGHWAY,"103104890"
NICOLL HIGHWAY,"103104891"
NICOLL HIGHWAY,"103104894"
NICOLL HIGHWAY,"103104895"
NICOLL HIGHWAY,"103105058"
NICOLL HIGHWAY,"103105059"
NICOLL HIGHWAY,"103105178"
NICOLL HIGHWAY,"103105179"
NICOLL HIGHWAY,"103105334"
NICOLL HIGHWAY,"103105335"
NICOLL HIGHWAY,"107001770"
NICOLL HIGHWAY,"107001771"
NICOLL HIGHWAY,"107001774"
NICOLL HIGHWAY,"107001775"
NICOLL HIGHWAY,"108003088"
NICOLL HIGHWAY,"108003092"
NICOLL HIGHWAY,"108003096"
NICOLL HIGHWAY,"114000120"
MOUNTBATTEN ROAD,"103009716"
MOUNTBATTEN ROAD,"103010788"
MOUNTBATTEN ROAD,"103011280"
MOUNTBATTEN ROAD,"103054418"
MOUNTBATTEN ROAD,"103054419"
MOUNTBATTEN ROAD,"103057038"
MOUNTBATTEN ROAD,"103057039"
MOUNTBATTEN ROAD,"103062026"
MOUNTBATTEN ROAD,"103062027"
MOUNTBATTEN ROAD,"103063964"
MOUNTBATTEN ROAD,"103063968"
MOUNTBATTEN ROAD,"103071040"
MOUNTBATTEN ROAD,"103072082"
MOUNTBATTEN ROAD,"103072083"
MOUNTBATTEN ROAD,"103072096"
MOUNTBATTEN ROAD,"103072148"
MOUNTBATTEN ROAD,"103072306"
MOUNTBATTEN ROAD,"103072307"
MOUNTBATTEN ROAD,"103072610"
MOUNTBATTEN ROAD,"103072611"
MOUNTBATTEN ROAD,"103072626"
MOUNTBATTEN ROAD,"103072627"
MOUNTBATTEN ROAD,"103072700"
MOUNTBATTEN ROAD,"103073038"
MOUNTBATTEN ROAD,"103073039"
MOUNTBATTEN ROAD,"103074162"
MOUNTBATTEN ROAD,"103074163"
MOUNTBATTEN ROAD,"103075558"
MOUNTBATTEN ROAD,"103075559"
MOUNTBATTEN ROAD,"103076234"
MOUNTBATTEN ROAD,"103076235"
MOUNTBATTEN ROAD,"103076462"
MOUNTBATTEN ROAD,"103076463"
MOUNTBATTEN ROAD,"103076878"
MOUNTBATTEN ROAD,"103076879"
MOUNTBATTEN ROAD,"103085650"
MOUNTBATTEN ROAD,"103085651"
MOUNTBATTEN ROAD,"103085652"
MOUNTBATTEN ROAD,"103085656"
MOUNTBATTEN ROAD,"103105170"
MOUNTBATTEN ROAD,"103105171"
MOUNTBATTEN ROAD,"103105174"
MOUNTBATTEN ROAD,"103105175"
MOUNTBATTEN ROAD,"103114614"
MOUNTBATTEN ROAD,"103114615"
MOUNTBATTEN ROAD,"103114786"
MOUNTBATTEN ROAD,"103114787"
MOUNTBATTEN ROAD,"113000502"
MOUNTBATTEN ROAD,"113000503"
MOUNTBATTEN ROAD,"114000132"
MOUNTBATTEN ROAD,"114000424"
FORT ROAD,"103004412"
FORT ROAD,"103007584"
FORT ROAD,"103007620"
FORT ROAD,"103007624"
FORT ROAD,"103011284"
FORT ROAD,"103011396"
FORT ROAD,"103057418"
FORT ROAD,"103057419"
FORT ROAD,"103066202"
FORT ROAD,"103066203"
FORT ROAD,"103067786"
FORT ROAD,"103067787"
FORT ROAD,"103072482"
FORT ROAD,"103072483"
FORT ROAD,"103072494"
FORT ROAD,"103072495"
